range_params,upscale,upscale_method,epoch_number,compression,val_top_1
"[1, 0.14, 0.14, 0.1]",0.01,+,147,0.8858758784323741,0.87548828125
"[1, 0.14, 0.14, 0.1]",0.01,+,148,0.8860694836918463,0.8765624761581421
"[1, 0.14, 0.14, 0.1]",0.01,+,149,0.8862795659946779,0.8780273199081421
"[1, 0.14, 0.14, 0.1]",0.01,+,150,0.88647729051499,0.877246081829071
"[1, 0.14, 0.14, 0.1]",0.01,+,151,0.8866750150353021,0.876660168170929
"[1, 0.14, 0.14, 0.1]",0.01,+,152,0.886876858816454,0.87744140625
"[1, 0.14, 0.14, 0.1]",0.01,+,153,0.8870127944241686,0.8760741949081421
"[1, 0.14, 0.14, 0.1]",0.01,+,154,0.8871775648577619,0.874804675579071
"[1, 0.14, 0.14, 0.1]",0.01,+,155,0.8873670508563943,0.8763672113418579
"[1, 0.14, 0.14, 0.1]",0.01,+,156,0.887548298333347,0.8770507574081421
"[1, 0.14, 0.14, 0.1]",0.01,+,157,0.887750142114499,0.87646484375
"[1, 0.14, 0.14, 0.1]",0.01,+,158,0.887898435504733,0.877246081829071
"[1, 0.14, 0.14, 0.1]",0.01,+,159,0.888075563720846,0.87646484375
"[1, 0.14, 0.14, 0.1]",0.01,+,160,0.888248572676119,0.8768554925918579
"[1, 0.14, 0.14, 0.1]",0.01,+,161,0.8884545357181107,0.8758789300918579
"[1, 0.14, 0.14, 0.1]",0.01,+,162,0.8886399024559033,0.8778320550918579
"[1, 0.14, 0.14, 0.1]",0.01,+,163,0.8888417462370553,0.87646484375
"[1, 0.14, 0.14, 0.1]",0.01,+,164,0.8890106359314884,0.87646484375
"[1, 0.14, 0.14, 0.1]",0.01,+,165,0.8891548100608827,0.8770507574081421
"[1, 0.14, 0.14, 0.1]",0.01,+,166,0.8893360575378354,0.8765624761581421
"[1, 0.14, 0.14, 0.1]",0.01,+,167,0.8895049472322687,0.876660168170929
"[1, 0.14, 0.14, 0.1]",0.01,+,168,0.8896367635791433,0.875683605670929
"[1, 0.14, 0.14, 0.1]",0.01,+,169,0.8898097725344164,0.876269519329071
"[1, 0.14, 0.14, 0.1]",0.01,+,170,0.8899415888812912,0.876171886920929
"[1, 0.14, 0.14, 0.1]",0.01,+,171,0.8901104785757243,0.8758789300918579
"[1, 0.14, 0.14, 0.1]",0.01,+,172,0.8902422949225991,0.8721679449081421
"[1, 0.14, 0.14, 0.1]",0.01,+,173,0.8903576342261145,0.8760741949081421
"[1, 0.14, 0.14, 0.1]",0.01,+,174,0.890518285398868,0.876660168170929
"[1, 0.14, 0.14, 0.1]",0.01,+,175,0.8906789365716216,0.87646484375
"[1, 0.14, 0.14, 0.1]",0.01,+,176,0.8908313492226955,0.875781238079071
"[1, 0.14, 0.14, 0.1]",0.01,+,177,0.89096728483041,0.8765624761581421
"[1, 0.14, 0.14, 0.1]",0.01,+,178,0.8911320552640034,0.8759765625
"[1, 0.14, 0.14, 0.1]",0.01,+,179,0.8912638716108782,0.876757800579071
"[1, 0.14, 0.14, 0.1]",0.01,+,180,0.8913874494360732,0.87451171875
"[1, 0.14, 0.14, 0.1]",0.01,+,181,0.8915316235654674,0.8750976324081421
"[1, 0.14, 0.14, 0.1]",0.01,+,182,0.891667559173182,0.8770507574081421
"[1, 0.14, 0.14, 0.1]",0.01,+,183,0.891815852563416,0.87646484375
"[1, 0.14, 0.14, 0.1]",0.01,+,184,0.8919476689102908,0.876269519329071
"[1, 0.14, 0.14, 0.1]",0.01,+,185,0.8921330356480833,0.8755859136581421
"[1, 0.14, 0.14, 0.1]",0.01,+,186,0.892264851994958,0.876171886920929
"[1, 0.14, 0.14, 0.1]",0.01,+,187,0.8924090261243522,0.8778320550918579
"[1, 0.14, 0.14, 0.1]",0.01,+,188,0.8925037691236685,0.8770507574081421
"[1, 0.14, 0.14, 0.1]",0.01,+,189,0.8926067506446643,0.876953125
"[1, 0.14, 0.14, 0.1]",0.01,+,190,0.8927138514265001,0.876660168170929
"[1, 0.14, 0.14, 0.1]",0.01,+,191,0.8928580255558942,0.877246081829071
"[1, 0.14, 0.14, 0.1]",0.01,+,192,0.8929610070768901,0.878125011920929
"[1, 0.14, 0.14, 0.1]",0.01,+,193,0.8930969426846047,0.8770507574081421
"[1, 0.14, 0.14, 0.1]",0.01,+,194,0.8932287590314794,0.876269519329071
"[1, 0.14, 0.14, 0.1]",0.01,+,195,0.8933811716825533,0.8770507574081421
"[1, 0.14, 0.14, 0.1]",0.01,+,196,0.8934965109860686,0.876269519329071
"[1, 0.14, 0.14, 0.1]",0.01,+,197,0.8936489236371425,0.876953125
"[1, 0.14, 0.14, 0.1]",0.01,+,198,0.8938054555490563,0.876171886920929
"[1, 0.14, 0.14, 0.1]",0.01,+,199,0.8938878407658529,0.877636730670929
"[1, 0.14, 0.14, 0.1]",0.04,+,0,0.6081429548281856,0.40576171875
"[1, 0.14, 0.14, 0.1]",0.04,+,1,0.6851731325330983,0.5113281011581421
"[1, 0.14, 0.14, 0.1]",0.04,+,2,0.7339575386592629,0.58984375
"[1, 0.14, 0.14, 0.1]",0.04,+,3,0.7678013857193465,0.6703125238418579
"[1, 0.14, 0.14, 0.1]",0.04,+,4,0.7921956484128488,0.6976562738418579
