range_params,upscale,upscale_method,epoch_number,compression,val_top_1
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1895,0.993417421,0.510449231
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1896,0.993417421,0.509570301
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1897,0.993417421,0.508105457
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1898,0.993417421,0.514941394
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1899,0.993417421,0.514355481
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1900,0.993417421,0.510351539
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1901,0.993417421,0.515136719
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1902,0.993417421,0.518750012
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1903,0.993417421,0.508593738
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1904,0.993417421,0.509765625
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1905,0.993417421,0.51171875
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1906,0.993417421,0.515039086
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1907,0.993417421,0.520312488
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1908,0.993417421,0.523046851
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1909,0.993417421,0.527734399
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1910,0.993417421,0.527148426
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1911,0.993417421,0.52822268
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1912,0.993417421,0.526562512
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1913,0.993417421,0.524707019
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1914,0.993417421,0.522753894
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1915,0.993417421,0.518457055
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1916,0.993417421,0.519140601
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1917,0.993417421,0.506640613
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1918,0.993417421,0.507714868
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1919,0.993417421,0.510644555
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1920,0.993417421,0.513964832
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1921,0.993417421,0.514062524
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1922,0.993417421,0.51259768
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1923,0.993417421,0.508398414
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1924,0.993417421,0.511328101
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1925,0.993417421,0.518847644
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1926,0.993417421,0.517773449
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1927,0.993417421,0.525195301
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1928,0.993417421,0.519433618
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1929,0.993417421,0.522949219
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1930,0.993417421,0.516601563
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1931,0.993417421,0.517285168
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1932,0.993417421,0.522851586
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1933,0.993417421,0.519238293
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1934,0.993417421,0.513769507
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1935,0.993417421,0.510156274
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1936,0.993417421,0.5078125
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1937,0.993417421,0.510156274
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1938,0.993417421,0.508398414
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1939,0.993417421,0.505664051
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1940,0.993417421,0.502636731
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1941,0.993417421,0.512890637
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1942,0.993417421,0.517675757
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1943,0.993417421,0.514648438
